car_ID,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,horsepower,citympg,highwaympg,price,car_company
1,3,gas,std,two,convertible,rwd,front,225.044,4.28752,1.6281399999999997,1155.752416,dohc,four,2.130323,mpfi,3.47,111,11.200714285714286,8.711666666666666,13495.0,alpha-romeo
2,3,gas,std,two,convertible,rwd,front,225.044,4.28752,1.6281399999999997,1155.752416,dohc,four,2.130323,mpfi,3.47,111,11.200714285714286,8.711666666666666,16500.0,alpha-romeo
3,1,gas,std,two,hatchback,rwd,front,240.03,4.34848,1.6637,1280.490216,ohcv,six,2.4908392000000004,mpfi,2.68,154,12.379736842105263,9.04673076923077,16500.0,alpha-romeo
4,2,gas,std,four,sedan,fwd,front,253.492,4.48564,1.68148,1060.044504,ohc,four,1.7861939000000002,mpfi,3.19,102,9.800625,7.8405,13950.0,audi
5,2,gas,std,four,sedan,4wd,front,252.47600000000003,4.48564,1.68656,1280.943808,ohc,five,2.2286456,mpfi,3.19,115,13.0675,10.691590909090907,17450.0,audi
6,2,gas,std,two,sedan,fwd,front,253.492,4.50342,1.68402,1137.155144,ohc,five,2.2286456,mpfi,3.19,110,12.379736842105263,9.4086,15250.0,audi
7,1,gas,std,four,sedan,fwd,front,268.732,4.89458,1.81356,1290.015648,ohc,five,2.2286456,mpfi,3.19,110,12.379736842105263,9.4086,17710.0,audi
8,1,gas,std,four,wagon,fwd,front,268.732,4.89458,1.81356,1339.910768,ohc,five,2.2286456,mpfi,3.19,110,12.379736842105263,9.4086,18920.0,audi
9,1,gas,turbo,four,sedan,fwd,front,268.732,4.89458,1.81356,1399.784912,ohc,five,2.1467101000000004,mpfi,3.13,140,13.836176470588237,11.76075,23875.0,audi
10,0,gas,turbo,two,hatchback,4wd,front,252.73,4.52628,1.72466,1384.816376,ohc,five,2.1467101000000004,mpfi,3.13,160,14.7009375,10.691590909090907,17859.167,audi
11,2,gas,std,two,sedan,rwd,front,257.048,4.4907200000000005,1.6459199999999998,1086.35284,ohc,four,1.7698068000000002,mpfi,3.5,101,10.226739130434783,8.110862068965517,16430.0,bmw
12,0,gas,std,four,sedan,rwd,front,257.048,4.4907200000000005,1.6459199999999998,1086.35284,ohc,four,1.7698068000000002,mpfi,3.5,101,10.226739130434783,8.110862068965517,16925.0,bmw
13,0,gas,std,two,sedan,rwd,front,257.048,4.4907200000000005,1.6459199999999998,1229.23432,ohc,six,2.6874844,mpfi,3.31,121,11.200714285714286,8.400535714285715,20970.0,bmw
14,0,gas,std,four,sedan,rwd,front,257.048,4.4907200000000005,1.6459199999999998,1254.18188,ohc,six,2.6874844,mpfi,3.31,121,11.200714285714286,8.400535714285715,21105.0,bmw
15,1,gas,std,four,sedan,rwd,front,262.89,4.8006,1.69926,1385.72356,ohc,six,2.6874844,mpfi,3.31,121,11.76075,9.4086,24565.0,bmw
16,0,gas,std,four,sedan,rwd,front,262.89,4.8006,1.69926,1465.10216,ohc,six,3.4249039000000003,mpfi,3.62,182,14.7009375,10.691590909090907,30760.0,bmw
17,0,gas,std,two,sedan,rwd,front,262.89,4.9225200000000005,1.72466,1533.14096,ohc,six,3.4249039000000003,mpfi,3.62,182,14.7009375,10.691590909090907,41315.0,bmw
